file,label,event_number,event_sample,event_time_seconds,sampling_rate_hz
impact13_4g.csv,RUPEE_20,1,226,1.13,200.0
impact13_4g.csv,RUPEE_20,2,574,2.87,200.0
impact13_4g.csv,RUPEE_20,3,775,3.875,200.0
impact13_4g.csv,RUPEE_20,4,1087,5.435,200.0
impact13_4g.csv,RUPEE_20,5,1297,6.485,200.0
impact13_4g.csv,RUPEE_20,6,1621,8.105,200.0
impact13_4g.csv,RUPEE_20,7,2319,11.595,200.0
impact13_4g.csv,RUPEE_20,8,2717,13.585,200.0
impact13_4g.csv,RUPEE_20,9,3068,15.34,200.0
impact13_4g.csv,RUPEE_20,10,3270,16.35,200.0
impact13_4g.csv,RUPEE_20,11,3567,17.835,200.0
impact14_4g.csv,RUPEE_20,2,286,1.43,200.0
impact14_4g.csv,RUPEE_20,3,693,3.465,200.0
impact14_4g.csv,RUPEE_20,4,1282,6.41,200.0
impact14_4g.csv,RUPEE_20,5,1625,8.125,200.0
impact14_4g.csv,RUPEE_20,6,1791,8.955,200.0
impact14_4g.csv,RUPEE_20,7,2339,11.695,200.0
impact14_4g.csv,RUPEE_20,8,2842,14.21,200.0
impact14_4g.csv,RUPEE_20,9,3008,15.04,200.0
impact14_4g.csv,RUPEE_20,10,3313,16.565,200.0
impact4_4g.csv,RUPEE_2,1,210,1.05,200.0
impact4_4g.csv,RUPEE_2,2,701,3.505,200.0
impact4_4g.csv,RUPEE_2,3,1139,5.695,200.0
impact4_4g.csv,RUPEE_2,4,1533,7.665,200.0
impact4_4g.csv,RUPEE_2,5,2953,14.765,200.0
impact4_4g.csv,RUPEE_2,6,3299,16.495,200.0
impact4_4g.csv,RUPEE_2,7,3491,17.455,200.0
impact5_4g.csv,RUPEE_2,1,287,1.435,200.0
impact5_4g.csv,RUPEE_2,2,715,3.575,200.0
impact5_4g.csv,RUPEE_2,3,1122,5.61,200.0
impact5_4g.csv,RUPEE_2,4,1402,7.01,200.0
impact5_4g.csv,RUPEE_2,5,1831,9.155,200.0
impact5_4g.csv,RUPEE_2,6,2108,10.54,200.0
impact5_4g.csv,RUPEE_2,7,2341,11.705,200.0
impact5_4g.csv,RUPEE_2,8,2580,12.9,200.0
impact5_4g.csv,RUPEE_2,9,2996,14.98,200.0
impact5_4g.csv,RUPEE_2,10,3474,17.37,200.0
impact6_4g.csv,RUPEE_2,1,262,1.31,200.0
impact6_4g.csv,RUPEE_2,2,753,3.765,200.0
impact6_4g.csv,RUPEE_2,3,1093,5.465,200.0
impact6_4g.csv,RUPEE_2,4,1464,7.32,200.0
impact6_4g.csv,RUPEE_2,5,1776,8.88,200.0
impact6_4g.csv,RUPEE_2,6,1986,9.93,200.0
impact6_4g.csv,RUPEE_2,7,2507,12.535,200.0
impact6_4g.csv,RUPEE_2,8,3109,15.545,200.0
impact6_4g.csv,RUPEE_2,9,3471,17.355,200.0
impact6_4g.csv,RUPEE_2,10,3661,18.305,200.0
impact7_4g.csv,RUPEE_5,1,297,1.485,200.0
impact7_4g.csv,RUPEE_5,2,673,3.365,200.0
impact7_4g.csv,RUPEE_5,3,1068,5.34,200.0
impact7_4g.csv,RUPEE_5,4,1535,7.675,200.0
impact7_4g.csv,RUPEE_5,5,1725,8.625,200.0
impact7_4g.csv,RUPEE_5,6,1999,9.995,200.0
impact7_4g.csv,RUPEE_5,7,2356,11.78,200.0
impact7_4g.csv,RUPEE_5,8,2669,13.345,200.0
impact7_4g.csv,RUPEE_5,9,3105,15.525,200.0
impact7_4g.csv,RUPEE_5,10,3418,17.09,200.0
impact8_4g.csv,RUPEE_5,1,912,4.56,200.0
impact8_4g.csv,RUPEE_5,2,1213,6.065,200.0
impact8_4g.csv,RUPEE_5,3,1482,7.41,200.0
impact8_4g.csv,RUPEE_5,4,1758,8.79,200.0
impact8_4g.csv,RUPEE_5,5,2083,10.415,200.0
impact8_4g.csv,RUPEE_5,6,2511,12.555,200.0
impact8_4g.csv,RUPEE_5,7,2672,13.36,200.0
impact8_4g.csv,RUPEE_5,8,3067,15.335,200.0
impact8_4g.csv,RUPEE_5,9,3268,16.34,200.0
impact8_4g.csv,RUPEE_5,10,3622,18.11,200.0
impact9_4g.csv,RUPEE_5,1,284,1.42,200.0
impact9_4g.csv,RUPEE_5,2,744,3.72,200.0
impact9_4g.csv,RUPEE_5,3,1176,5.88,200.0
impact9_4g.csv,RUPEE_5,4,1516,7.58,200.0
impact9_4g.csv,RUPEE_5,5,1932,9.66,200.0
impact9_4g.csv,RUPEE_5,6,2333,11.665,200.0
impact9_4g.csv,RUPEE_5,7,2883,14.415,200.0
impact9_4g.csv,RUPEE_5,8,3073,15.365,200.0
impact9_4g.csv,RUPEE_5,9,3401,17.005,200.0
impact9_4g.csv,RUPEE_5,10,3563,17.815,200.0
